R DORITOS-COOL-RANCH 7
R CHEETOS-FLAMIN'-HOT 2
R AQUAFINA-WATER 4
P LAYS-CLASSIC 10
O MOUNTAIN-DEW 6 6
O GATORADE 8 7
M 8
O KIND-BAR-DARK-CHOCOLATE-NUT 4 10
P HOSTESS-DONETTES-POWDERED 3
P HOSTESS-DONETTES-POWDERED 8
M 10
R TASTYKAKE-HONEY-BUN 1
R MENTOS-FRUIT 2
R HARIBO-GOLD-BEARS 7
K WHAT-A-MATRAKA
P DASANI-WATER 3
R PEPSI 3
R PRINGLES-SOUR-CREAM-&-ONION 3
R 3-MUSKETEERS 5
R EXTRA-PEPPERMINT-GUM 6
P KIND-BAR-DARK-CHOCOLATE-NUT 10
P AQUAFINA-WATER 3
P NESTEA-LEMON-TEA 9
R EXTRA-PEPPERMINT-GUM 5
O CHEETOS-FLAMIN'-HOT 2 10
O CLIF-BAR-CHOCOLATE-CHIP 10 2
M 1
O STARBUCKS-FRAPPUCCINO 1 4
P ALTOIDS-PEPPERMINT 6
R NUTRI-GRAIN-STRAWBERRY 6
R HOSTESS-DONETTES-POWDERED 7
R PEPSI 3
P CHEETOS-CRUNCHY 3
R MENTOS-FRUIT 3
R SPRITE 9
M 9
P MENTOS-FRUIT 3
O TASTYKAKE-HONEY-BUN 4 10
O SNICKERS 5 1
R POWERADE 8
O HARIBO-GOLD-BEARS 8 2
R MILKY-WAY 6
O NESTEA-LEMON-TEA 5 3
R LAYS-BARBECUE 9
R SNICKERS 5
M 8
O OREO 4 9
R DASANI-WATER 7
R PEPSI 5
R 3-MUSKETEERS 4
M 3
P KIT-KAT 5
O POWERADE 5 8
R LAYS-BARBECUE 4
R DORITOS-NACHO-CHEESE 5
R RED-BULL 3
R FANTA-ORANGE 4
R NESTEA-LEMON-TEA 7
R HARIBO-GOLD-BEARS 7
R LAYS-CLASSIC 9
R ALTOIDS-PEPPERMINT 9
R FANTA-ORANGE 2
R SKITTLES 5
O DR-PEPPER 7 7
