M 9
R SPRITE 6
R STARBUCKS-FRAPPUCCINO 1
R MONSTER-ENERGY 10
R TASTYKAKE-HONEY-BUN 9
P FANTA-ORANGE 3
R NESTEA-LEMON-TEA 9
R DORITOS-COOL-RANCH 6
R SUN-CHIPS-HARVEST-CHEDDAR 2
R LAYS-CLASSIC 7
P FIJI-WATER 1
R MILKY-WAY 5
P LAYS-BARBECUE 5
R LAYS-CLASSIC 5
R FANTA-ORANGE 10
R CHEETOS-CRUNCHY 1
R FIJI-WATER 1
R MILKY-WAY 1
O HOSTESS-TWINKIES 2 1
M 4
P NESTEA-LEMON-TEA 7
R PRINGLES-SOUR-CREAM-&-ONION 7
M 7
R NESQUIK-CHOCOLATE-MILK 5
R NUTRI-GRAIN-STRAWBERRY 8
R LIFE-SAVERS-GUMMIES 2
O POWERADE 7 1
R PRINGLES-SOUR-CREAM-&-ONION 3
R LAYS-BARBECUE 6
R TIC-TAC-ORANGE 6
R LIFE-SAVERS-GUMMIES 3
O DORITOS-NACHO-CHEESE 9 8
P TWIX 5
R SUN-CHIPS-HARVEST-CHEDDAR 4
R GATORADE 2
M 3
R MENTOS-FRUIT 7
R LAYS-BARBECUE 5
R POCKY-CHOCOLATE 9
R HOSTESS-DONETTES-POWDERED 1
R MILKY-WAY 2
R MOUNTAIN-DEW 2
R LIFE-SAVERS-GUMMIES 7
R DASANI-WATER 3
R TASTYKAKE-HONEY-BUN 10
O GATORADE 6 8
M 5
R SPRITE 1
R 3-MUSKETEERS 8
R FANTA-ORANGE 2
P POCKY-CHOCOLATE 2
P SUN-CHIPS-HARVEST-CHEDDAR 10
R MENTOS-FRUIT 6
R TWIX 1
O MONSTER-ENERGY 6 10
R CHEETOS-CRUNCHY 9
R CHEETOS-CRUNCHY 7
R STARBURST 7
R PLANET-OATS-CHOCOLATE-MILK 3
R AQUAFINA-WATER 10
P PLANET-OATS-CHOCOLATE-MILK 10
R TRIDENT-SPEARMINT-GUM 1
R LIFE-SAVERS-GUMMIES 1
R ALTOIDS-PEPPERMINT 7
R TIC-TAC-ORANGE 6
R TRIDENT-SPEARMINT-GUM 2
R TIC-TAC-ORANGE 3
P EXTRA-PEPPERMINT-GUM 4
R AQUAFINA-WATER 3
R TRIDENT-SPEARMINT-GUM 3
R SNICKERS 7
M 9
M 4
M 3
O LIFE-SAVERS-GUMMIES 5 7
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R PRINGLES-SOUR-CREAM-&-ONION 8
R KIT-KAT 10
O RED-BULL 8 4
R TWIX 1
R DORITOS-COOL-RANCH 2
P CHEETOS-FLAMIN'-HOT 8
P COCA-COLA 1
P COCA-COLA 9
O LAYS-CLASSIC 3 4
M 1
P HARIBO-GOLD-BEARS 6
R TRIDENT-SPEARMINT-GUM 3
R CHEETOS-FLAMIN'-HOT 10
R SNICKERS 4
P TROPICANA-ORANGE-JUICE 10
R RED-BULL 3
R RITZ-CRACKERS 6
