M 6
P DORITOS-COOL-RANCH 2
P TROPICANA-ORANGE-JUICE 10
R NESQUIK-CHOCOLATE-MILK 8
R SNICKERS 8
R 3-MUSKETEERS 3
P DORITOS-COOL-RANCH 6
R 3-MUSKETEERS 3
O TROPICANA-ORANGE-JUICE 7 1
R PRINGLES-ORIGINAL 8
R KIT-KAT 8
O TIC-TAC-ORANGE 3 8
P RED-BULL 7
R LAYS-BARBECUE 9
R KIT-KAT 10
R PEPSI 3
O PLANET-OATS-CHOCOLATE-MILK 7 7
R SMARTWATER 5
P SMARTWATER 5
R ALTOIDS-PEPPERMINT 1
R FANTA-ORANGE 6
R PRINGLES-ORIGINAL 6
O TROPICANA-ORANGE-JUICE 4 8
R POCKY-CHOCOLATE 6
O ALTOIDS-PEPPERMINT 6 7
K WHAT-A-MATRAKA
R PEPSI 9
R NESTEA-LEMON-TEA 8
R POCKY-CHOCOLATE 1
R OREO 3
R PLANET-OATS-CHOCOLATE-MILK 2
P SPRITE 10
R FANTA-ORANGE 2
R MILKY-WAY 6
R TROPICANA-ORANGE-JUICE 1
R PLANET-OATS-CHOCOLATE-MILK 5
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 7
P 3-MUSKETEERS 9
R SMARTWATER 2
M 2
R CLIF-BAR-CHOCOLATE-CHIP 1
R POWERADE 10
M 7
P EXTRA-PEPPERMINT-GUM 5
R TRIDENT-SPEARMINT-GUM 2
M 1
P HARIBO-GOLD-BEARS 8
M 8
R GATORADE 8
R TROPICANA-ORANGE-JUICE 10
R MENTOS-FRUIT 1
P POWERADE 10
R MONSTER-ENERGY 6
P EXTRA-PEPPERMINT-GUM 4
R ALTOIDS-PEPPERMINT 10
R TROPICANA-ORANGE-JUICE 9
R CLIF-BAR-CHOCOLATE-CHIP 8
K WHAT-A-MATRAKA
R COCA-COLA 8
P EXTRA-PEPPERMINT-GUM 9
R SKITTLES 3
R RED-BULL 4
R DORITOS-COOL-RANCH 6
M 7
R STARBUCKS-FRAPPUCCINO 5
P PRINGLES-ORIGINAL 4
R DR-PEPPER 3
R PRINGLES-SOUR-CREAM-&-ONION 7
O OREO 2 6
R LAYS-CLASSIC 8
R EXTRA-PEPPERMINT-GUM 1
M 5
R M&M 1
R NUTRI-GRAIN-STRAWBERRY 3
R RED-BULL 1
R NESTEA-LEMON-TEA 1
R KIT-KAT 4
P CHEETOS-CRUNCHY 1
R OREO 10
R POCKY-CHOCOLATE 10
P KIT-KAT 2
R M&M 9
R TASTYKAKE-HONEY-BUN 4
M 6
P DASANI-WATER 6
P HOSTESS-TWINKIES 1
R TASTYKAKE-HONEY-BUN 8
R NUTRI-GRAIN-STRAWBERRY 2
R PRINGLES-ORIGINAL 7
R MOUNTAIN-DEW 4
K WHAT-A-MATRAKA
P EXTRA-PEPPERMINT-GUM 5
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 9
P ALTOIDS-PEPPERMINT 3
K WHAT-A-MATRAKA
R RED-BULL 7
P POCKY-CHOCOLATE 5
R FANTA-ORANGE 10
R DORITOS-COOL-RANCH 2
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R SNICKERS 9
R AQUAFINA-WATER 5
M 4
R MOUNTAIN-DEW 8
R TIC-TAC-ORANGE 5
R FANTA-ORANGE 9
R PRINGLES-ORIGINAL 4
R TWIX 8
R OREO 8
R M&M 5
R NESQUIK-CHOCOLATE-MILK 9
O TRIDENT-SPEARMINT-GUM 6 8
R SMARTWATER 3
R CHEETOS-FLAMIN'-HOT 8
P CHEETOS-FLAMIN'-HOT 9
P HOSTESS-TWINKIES 2
O POWERADE 7 7
R TASTYKAKE-HONEY-BUN 3
R RITZ-CRACKERS 7
P TIC-TAC-ORANGE 2
R HARIBO-GOLD-BEARS 10
R CHEETOS-FLAMIN'-HOT 9
R CHEETOS-CRUNCHY 9
R SNICKERS 7
R NUTRI-GRAIN-STRAWBERRY 3
O DASANI-WATER 7 2
R NESQUIK-CHOCOLATE-MILK 10
P STARBURST 4
P M&M 7
P HOSTESS-DONETTES-POWDERED 4
K WHAT-A-MATRAKA
R POWERADE 9
O DASANI-WATER 8 7
O KIT-KAT 6 8
P COCA-COLA 2
O 3-MUSKETEERS 5 2
P PLANET-OATS-CHOCOLATE-MILK 8
R LAYS-BARBECUE 5
R FIJI-WATER 1
R NESQUIK-CHOCOLATE-MILK 9
O MENTOS-FRUIT 4 1
R STARBURST 5
R NUTRI-GRAIN-STRAWBERRY 10
R SMARTWATER 9
R SKITTLES 9
R SKITTLES 3
R FANTA-ORANGE 9
R NESTEA-LEMON-TEA 3
P AQUAFINA-WATER 3
O STARBUCKS-FRAPPUCCINO 9 4
R POCKY-CHOCOLATE 7
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
P DR-PEPPER 10
P SKITTLES 7
R STARBURST 2
R SPRITE 8
R PRINGLES-ORIGINAL 3
R OREO 1
R HOSTESS-DONETTES-POWDERED 10
R LAYS-CLASSIC 5
R SKITTLES 7
O DR-PEPPER 9 5
P RED-BULL 9
P TIC-TAC-ORANGE 2
R TWIX 3
R NESTEA-LEMON-TEA 8
O CLIF-BAR-CHOCOLATE-CHIP 9 2
R KIT-KAT 9
O TIC-TAC-ORANGE 3 2
R SPRITE 1
R DORITOS-NACHO-CHEESE 10
P GATORADE 9
P DORITOS-COOL-RANCH 5
R NESQUIK-CHOCOLATE-MILK 10
R PRINGLES-ORIGINAL 9
P MENTOS-FRUIT 8
R STARBUCKS-FRAPPUCCINO 4
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R KIT-KAT 5
K WHAT-A-MATRAKA
R COCA-COLA 2
P RED-BULL 6
R EXTRA-PEPPERMINT-GUM 3
P SPRITE 9
P HOSTESS-TWINKIES 6
P NUTRI-GRAIN-STRAWBERRY 8
R GATORADE 8
P STARBURST 5
O MENTOS-FRUIT 2 2
R GATORADE 10
R SMARTWATER 8
R CHEETOS-CRUNCHY 5
R NUTRI-GRAIN-STRAWBERRY 4
P SPRITE 6
P SNICKERS 3
R SNICKERS 6
P SKITTLES 4
R GATORADE 2
R PLANET-OATS-CHOCOLATE-MILK 8
R STARBUCKS-FRAPPUCCINO 10
R HOSTESS-TWINKIES 8
R PRINGLES-ORIGINAL 3
O HOSTESS-TWINKIES 4 5
R MENTOS-FRUIT 6
R LAYS-BARBECUE 10
R M&M 10
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 7
R COCA-COLA 4
R DR-PEPPER 6
P PEPSI 7
O COCA-COLA 3 9
R DORITOS-COOL-RANCH 1
R PRINGLES-ORIGINAL 7
P MOUNTAIN-DEW 10
P SKITTLES 1
O TWIX 2 9
P CHEETOS-FLAMIN'-HOT 9
M 6
R SPRITE 6
K WHAT-A-MATRAKA
P AQUAFINA-WATER 5
R ALTOIDS-PEPPERMINT 10
P MILKY-WAY 2
R HARIBO-GOLD-BEARS 5
R POCKY-CHOCOLATE 9
R RED-BULL 3
R STARBURST 10
R SMARTWATER 9
R DASANI-WATER 7
R KIT-KAT 10
P POWERADE 2
R POWERADE 6
R CHEETOS-CRUNCHY 4
R TIC-TAC-ORANGE 4
R CHEETOS-FLAMIN'-HOT 2
R POWERADE 7
R TROPICANA-ORANGE-JUICE 2
P LAYS-CLASSIC 3
R TRIDENT-SPEARMINT-GUM 9
R LAYS-BARBECUE 9
M 4
R CHEETOS-FLAMIN'-HOT 3
R TRIDENT-SPEARMINT-GUM 8
M 7
P TIC-TAC-ORANGE 10
P SNICKERS 7
R TASTYKAKE-HONEY-BUN 5
R TIC-TAC-ORANGE 9
O SUN-CHIPS-HARVEST-CHEDDAR 4 7
R MONSTER-ENERGY 2
R COCA-COLA 3
K WHAT-A-MATRAKA
R STARBURST 5
P SNICKERS 9
R PEPSI 4
K WHAT-A-MATRAKA
R CHEETOS-FLAMIN'-HOT 3
R FIJI-WATER 4
P 3-MUSKETEERS 4
P PEPSI 8
R SUN-CHIPS-HARVEST-CHEDDAR 4
M 3
R COCA-COLA 4
P ALTOIDS-PEPPERMINT 6
M 10
R OREO 3
P KIT-KAT 4
R TIC-TAC-ORANGE 4
R RED-BULL 10
R GATORADE 7
R STARBUCKS-FRAPPUCCINO 2
P PLANET-OATS-CHOCOLATE-MILK 2
R HOSTESS-TWINKIES 3
R PRINGLES-SOUR-CREAM-&-ONION 4
