K WHAT-A-MATRAKA
P PLANET-OATS-CHOCOLATE-MILK 3
P CHEETOS-FLAMIN'-HOT 2
P RED-BULL 4
P MONSTER-ENERGY 2
P GATORADE 7
R SNICKERS 1
O MENTOS-FRUIT 7 10
P NUTRI-GRAIN-STRAWBERRY 9
R CHEETOS-CRUNCHY 3
R LAYS-BARBECUE 3
R EXTRA-PEPPERMINT-GUM 5
O HARIBO-GOLD-BEARS 6 5
R TIC-TAC-ORANGE 9
R SKITTLES 3
R DORITOS-COOL-RANCH 7
P 3-MUSKETEERS 10
R LAYS-CLASSIC 8
R STARBURST 4
R CHEETOS-CRUNCHY 2
R DORITOS-NACHO-CHEESE 4
P OREO 5
P 3-MUSKETEERS 5
M 6
R CLIF-BAR-CHOCOLATE-CHIP 5
R OREO 1
R PLANET-OATS-CHOCOLATE-MILK 3
R HOSTESS-TWINKIES 10
R LAYS-CLASSIC 5
R MILKY-WAY 6
R TWIX 1
O COCA-COLA 7 8
P STARBURST 9
R KIND-BAR-DARK-CHOCOLATE-NUT 6
M 2
O RITZ-CRACKERS 4 5
P HOSTESS-TWINKIES 10
M 5
P MOUNTAIN-DEW 7
R TRIDENT-SPEARMINT-GUM 9
P SUN-CHIPS-HARVEST-CHEDDAR 10
R HARIBO-GOLD-BEARS 10
O SKITTLES 2 5
R HOSTESS-TWINKIES 7
R NESTEA-LEMON-TEA 8
R SPRITE 7
R TASTYKAKE-HONEY-BUN 7
R AQUAFINA-WATER 4
R RED-BULL 7
R TASTYKAKE-HONEY-BUN 2
R RED-BULL 5
R M&M 5
P STARBURST 1
P EXTRA-PEPPERMINT-GUM 10
R SUN-CHIPS-HARVEST-CHEDDAR 7
R LIFE-SAVERS-GUMMIES 1
R POWERADE 1
P SMARTWATER 10
R RED-BULL 1
P FANTA-ORANGE 3
O NESQUIK-CHOCOLATE-MILK 3 4
R MOUNTAIN-DEW 5
P COCA-COLA 8
P MILKY-WAY 8
P RED-BULL 4
R HOSTESS-DONETTES-POWDERED 1
M 3
O STARBUCKS-FRAPPUCCINO 10 1
P HARIBO-GOLD-BEARS 6
R 3-MUSKETEERS 8
K WHAT-A-MATRAKA
P RITZ-CRACKERS 5
R PRINGLES-ORIGINAL 6
R SUN-CHIPS-HARVEST-CHEDDAR 10
R TRIDENT-SPEARMINT-GUM 5
R PLANET-OATS-CHOCOLATE-MILK 7
R DR-PEPPER 2
R EXTRA-PEPPERMINT-GUM 1
R RITZ-CRACKERS 10
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 6
P PEPSI 3
R DR-PEPPER 6
O LAYS-BARBECUE 5 6
R DORITOS-COOL-RANCH 5
R NUTRI-GRAIN-STRAWBERRY 9
P TASTYKAKE-HONEY-BUN 9
P EXTRA-PEPPERMINT-GUM 3
R MENTOS-FRUIT 8
R DORITOS-COOL-RANCH 10
R POCKY-CHOCOLATE 5
R MONSTER-ENERGY 2
R KIT-KAT 4
P TIC-TAC-ORANGE 1
R FIJI-WATER 2
R PEPSI 1
R LAYS-CLASSIC 5
M 3
R FANTA-ORANGE 1
R DASANI-WATER 2
