K WHAT-A-MATRAKA
P SNICKERS 1
R NESTEA-LEMON-TEA 5
K WHAT-A-MATRAKA
P AQUAFINA-WATER 1
O MENTOS-FRUIT 9 9
R DR-PEPPER 9
O AQUAFINA-WATER 6 1
R MENTOS-FRUIT 8
R PRINGLES-ORIGINAL 3
P TRIDENT-SPEARMINT-GUM 5
R FANTA-ORANGE 7
R PEPSI 5
R DORITOS-NACHO-CHEESE 6
R GATORADE 3
R MONSTER-ENERGY 1
R NESQUIK-CHOCOLATE-MILK 5
R NESTEA-LEMON-TEA 6
P GATORADE 6
M 10
O TWIX 7 3
R AQUAFINA-WATER 9
M 4
K WHAT-A-MATRAKA
M 2
R PLANET-OATS-CHOCOLATE-MILK 3
R NESQUIK-CHOCOLATE-MILK 10
R PLANET-OATS-CHOCOLATE-MILK 1
P 3-MUSKETEERS 10
R EXTRA-PEPPERMINT-GUM 9
P TIC-TAC-ORANGE 8
O RED-BULL 5 6
R KIND-BAR-DARK-CHOCOLATE-NUT 2
M 8
P CHEETOS-CRUNCHY 6
P DASANI-WATER 8
R SKITTLES 3
R MILKY-WAY 3
R CHEETOS-CRUNCHY 10
R PRINGLES-SOUR-CREAM-&-ONION 8
O LIFE-SAVERS-GUMMIES 5 2
R MENTOS-FRUIT 6
R NUTRI-GRAIN-STRAWBERRY 8
R NESQUIK-CHOCOLATE-MILK 6
R NUTRI-GRAIN-STRAWBERRY 3
R TWIX 3
M 7
R STARBURST 6
R CHEETOS-FLAMIN'-HOT 5
M 6
R DASANI-WATER 3
R LAYS-BARBECUE 7
R KIND-BAR-DARK-CHOCOLATE-NUT 2
R FIJI-WATER 3
M 9
P STARBUCKS-FRAPPUCCINO 3
R OREO 8
R ALTOIDS-PEPPERMINT 1
P MILKY-WAY 2
R DASANI-WATER 3
P DORITOS-COOL-RANCH 10
R NUTRI-GRAIN-STRAWBERRY 4
R DR-PEPPER 8
P CHEETOS-CRUNCHY 9
R TWIX 5
R KIT-KAT 10
R NUTRI-GRAIN-STRAWBERRY 6
P NUTRI-GRAIN-STRAWBERRY 10
R PRINGLES-SOUR-CREAM-&-ONION 1
K WHAT-A-MATRAKA
P RITZ-CRACKERS 10
R TRIDENT-SPEARMINT-GUM 5
R EXTRA-PEPPERMINT-GUM 1
R STARBUCKS-FRAPPUCCINO 6
R DORITOS-NACHO-CHEESE 6
P SPRITE 3
O NESTEA-LEMON-TEA 4 6
O RED-BULL 4 3
O GATORADE 2 9
M 4
P COCA-COLA 6
O SPRITE 8 9
P DORITOS-COOL-RANCH 1
P SKITTLES 6
M 4
R MENTOS-FRUIT 5
R RITZ-CRACKERS 6
R RITZ-CRACKERS 5
R DR-PEPPER 2
R MENTOS-FRUIT 9
M 2
R SMARTWATER 3
R TIC-TAC-ORANGE 5
R LAYS-CLASSIC 9
R FIJI-WATER 7
P AQUAFINA-WATER 10
R SMARTWATER 1
R PRINGLES-SOUR-CREAM-&-ONION 4
R POWERADE 5
R NUTRI-GRAIN-STRAWBERRY 3
R 3-MUSKETEERS 5
R CHEETOS-FLAMIN'-HOT 2
P MONSTER-ENERGY 7
R TIC-TAC-ORANGE 7
R EXTRA-PEPPERMINT-GUM 5
P TROPICANA-ORANGE-JUICE 9
R SKITTLES 7
P M&M 3
R LAYS-BARBECUE 1
M 1
M 1
R CHEETOS-CRUNCHY 6
P AQUAFINA-WATER 5
K WHAT-A-MATRAKA
R OREO 1
R DORITOS-NACHO-CHEESE 1
