R TASTYKAKE-HONEY-BUN 5
R KIT-KAT 4
R MONSTER-ENERGY 3
R COCA-COLA 1
R TIC-TAC-ORANGE 9
R EXTRA-PEPPERMINT-GUM 10
R SMARTWATER 8
P POWERADE 7
P TWIX 7
R PLANET-OATS-CHOCOLATE-MILK 6
R 3-MUSKETEERS 4
R NESQUIK-CHOCOLATE-MILK 5
R M&M 3
R COCA-COLA 2
R NUTRI-GRAIN-STRAWBERRY 3
R NUTRI-GRAIN-STRAWBERRY 6
O STARBURST 6 8
R RED-BULL 2
R ALTOIDS-PEPPERMINT 8
R OREO 2
R SMARTWATER 2
R LAYS-CLASSIC 10
R OREO 3
R PRINGLES-SOUR-CREAM-&-ONION 9
R M&M 7
M 5
R MONSTER-ENERGY 3
R NUTRI-GRAIN-STRAWBERRY 7
R DR-PEPPER 3
R HARIBO-GOLD-BEARS 1
R RITZ-CRACKERS 8
P PRINGLES-ORIGINAL 10
R DORITOS-NACHO-CHEESE 9
R HOSTESS-DONETTES-POWDERED 6
R SPRITE 4
R POCKY-CHOCOLATE 1
R SMARTWATER 6
K WHAT-A-MATRAKA
R MOUNTAIN-DEW 2
R MENTOS-FRUIT 3
P NUTRI-GRAIN-STRAWBERRY 10
R RITZ-CRACKERS 7
K WHAT-A-MATRAKA
R LAYS-CLASSIC 6
P FANTA-ORANGE 1
P STARBUCKS-FRAPPUCCINO 3
R STARBUCKS-FRAPPUCCINO 4
M 4
R DASANI-WATER 9
P PRINGLES-SOUR-CREAM-&-ONION 2
P NUTRI-GRAIN-STRAWBERRY 6
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 5
R HOSTESS-TWINKIES 8
R PEPSI 1
R PRINGLES-SOUR-CREAM-&-ONION 2
M 10
R HARIBO-GOLD-BEARS 6
M 3
P RITZ-CRACKERS 1
K WHAT-A-MATRAKA
R SPRITE 7
O AQUAFINA-WATER 9 3
R SKITTLES 9
R MONSTER-ENERGY 3
R LAYS-BARBECUE 3
M 5
O OREO 7 2
R SNICKERS 10
