R TWIX 8
R LAYS-BARBECUE 3
P LAYS-BARBECUE 9
R LAYS-BARBECUE 1
P ALTOIDS-PEPPERMINT 3
P FIJI-WATER 9
R COCA-COLA 3
R LIFE-SAVERS-GUMMIES 5
P DORITOS-NACHO-CHEESE 8
R TASTYKAKE-HONEY-BUN 4
P DASANI-WATER 10
R MENTOS-FRUIT 5
R ALTOIDS-PEPPERMINT 2
P HARIBO-GOLD-BEARS 2
M 3
R HOSTESS-DONETTES-POWDERED 8
P MENTOS-FRUIT 4
P PRINGLES-ORIGINAL 3
R HOSTESS-TWINKIES 2
P TROPICANA-ORANGE-JUICE 7
R NUTRI-GRAIN-STRAWBERRY 3
R MENTOS-FRUIT 10
M 3
R OREO 7
O TROPICANA-ORANGE-JUICE 4 6
R KIT-KAT 5
P PLANET-OATS-CHOCOLATE-MILK 10
R COCA-COLA 6
K WHAT-A-MATRAKA
R MOUNTAIN-DEW 7
R TASTYKAKE-HONEY-BUN 2
R LIFE-SAVERS-GUMMIES 9
R TRIDENT-SPEARMINT-GUM 10
O PRINGLES-SOUR-CREAM-&-ONION 10 3
O ALTOIDS-PEPPERMINT 4 6
M 4
O LAYS-BARBECUE 5 1
R TRIDENT-SPEARMINT-GUM 2
R FANTA-ORANGE 6
O DORITOS-NACHO-CHEESE 6 7
P M&M 9
R SUN-CHIPS-HARVEST-CHEDDAR 6
R LIFE-SAVERS-GUMMIES 2
O AQUAFINA-WATER 3 5
M 7
R TIC-TAC-ORANGE 5
P MENTOS-FRUIT 10
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R DASANI-WATER 9
R RITZ-CRACKERS 5
R 3-MUSKETEERS 10
R MENTOS-FRUIT 3
P PEPSI 5
R NESTEA-LEMON-TEA 4
P NESQUIK-CHOCOLATE-MILK 10
R CHEETOS-CRUNCHY 2
O SKITTLES 8 6
P SNICKERS 9
R LIFE-SAVERS-GUMMIES 5
R CLIF-BAR-CHOCOLATE-CHIP 8
R RED-BULL 10
R STARBUCKS-FRAPPUCCINO 10
R LAYS-CLASSIC 2
R PRINGLES-ORIGINAL 2
P LAYS-CLASSIC 2
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 10
P DR-PEPPER 9
R CHEETOS-CRUNCHY 4
P STARBURST 3
O MOUNTAIN-DEW 10 5
P PEPSI 8
R PLANET-OATS-CHOCOLATE-MILK 6
M 3
R KIND-BAR-DARK-CHOCOLATE-NUT 8
K WHAT-A-MATRAKA
R DR-PEPPER 1
M 6
R CHEETOS-CRUNCHY 1
R MOUNTAIN-DEW 4
R CHEETOS-FLAMIN'-HOT 1
P EXTRA-PEPPERMINT-GUM 6
P TRIDENT-SPEARMINT-GUM 4
R LAYS-CLASSIC 5
R FIJI-WATER 9
M 3
K WHAT-A-MATRAKA
R 3-MUSKETEERS 4
P TIC-TAC-ORANGE 3
P CHEETOS-FLAMIN'-HOT 8
O CLIF-BAR-CHOCOLATE-CHIP 7 6
P SNICKERS 9
P FIJI-WATER 5
P PRINGLES-SOUR-CREAM-&-ONION 10
R KIT-KAT 7
R 3-MUSKETEERS 1
R 3-MUSKETEERS 10
P MONSTER-ENERGY 9
R 3-MUSKETEERS 3
R SNICKERS 9
K WHAT-A-MATRAKA
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R COCA-COLA 2
O CLIF-BAR-CHOCOLATE-CHIP 2 2
R POCKY-CHOCOLATE 5
M 6
R TROPICANA-ORANGE-JUICE 6
K WHAT-A-MATRAKA
R TWIX 2
R TRIDENT-SPEARMINT-GUM 9
M 2
R M&M 10
P DORITOS-COOL-RANCH 10
R OREO 8
R M&M 8
P EXTRA-PEPPERMINT-GUM 9
R POCKY-CHOCOLATE 7
R LAYS-BARBECUE 9
P AQUAFINA-WATER 5
R MOUNTAIN-DEW 4
R DASANI-WATER 10
R TRIDENT-SPEARMINT-GUM 1
M 3
R CLIF-BAR-CHOCOLATE-CHIP 9
R STARBUCKS-FRAPPUCCINO 4
O SKITTLES 3 4
R TIC-TAC-ORANGE 3
R MILKY-WAY 2
P SNICKERS 6
K WHAT-A-MATRAKA
O OREO 8 5
O 3-MUSKETEERS 7 2
R 3-MUSKETEERS 7
R MONSTER-ENERGY 8
P GATORADE 7
R KIT-KAT 1
P TROPICANA-ORANGE-JUICE 2
O MENTOS-FRUIT 9 6
P 3-MUSKETEERS 2
O DORITOS-NACHO-CHEESE 4 6
P ALTOIDS-PEPPERMINT 8
O PRINGLES-ORIGINAL 7 1
R PRINGLES-SOUR-CREAM-&-ONION 3
R POCKY-CHOCOLATE 4
R M&M 9
R AQUAFINA-WATER 8
P SNICKERS 6
R NESQUIK-CHOCOLATE-MILK 5
R TASTYKAKE-HONEY-BUN 3
R PRINGLES-ORIGINAL 8
R NESQUIK-CHOCOLATE-MILK 6
R SKITTLES 1
P MENTOS-FRUIT 4
P SUN-CHIPS-HARVEST-CHEDDAR 10
P M&M 8
R POCKY-CHOCOLATE 4
P EXTRA-PEPPERMINT-GUM 2
O AQUAFINA-WATER 2 3
M 9
R SPRITE 9
R KIND-BAR-DARK-CHOCOLATE-NUT 2
P MILKY-WAY 6
R MENTOS-FRUIT 10
M 8
P OREO 2
P ALTOIDS-PEPPERMINT 5
R EXTRA-PEPPERMINT-GUM 5
P MOUNTAIN-DEW 4
P TWIX 7
R STARBURST 3
R STARBUCKS-FRAPPUCCINO 7
R LAYS-CLASSIC 9
R RITZ-CRACKERS 6
R AQUAFINA-WATER 2
P DORITOS-COOL-RANCH 2
R NUTRI-GRAIN-STRAWBERRY 2
R SMARTWATER 4
P POWERADE 6
M 10
K WHAT-A-MATRAKA
P HOSTESS-DONETTES-POWDERED 5
R TIC-TAC-ORANGE 1
R STARBURST 4
M 3
R MOUNTAIN-DEW 3
M 8
R TASTYKAKE-HONEY-BUN 4
R HOSTESS-TWINKIES 5
R NESQUIK-CHOCOLATE-MILK 2
O RED-BULL 6 2
R KIT-KAT 2
R RITZ-CRACKERS 4
P KIT-KAT 8
P DORITOS-COOL-RANCH 2
R MOUNTAIN-DEW 3
R STARBURST 8
R GATORADE 10
R TASTYKAKE-HONEY-BUN 4
R NUTRI-GRAIN-STRAWBERRY 2
M 7
R NESTEA-LEMON-TEA 6
P FIJI-WATER 1
P RITZ-CRACKERS 1
R AQUAFINA-WATER 7
R LAYS-BARBECUE 4
R DORITOS-NACHO-CHEESE 7
P LAYS-CLASSIC 10
R DORITOS-COOL-RANCH 7
R POWERADE 4
R MILKY-WAY 1
P PEPSI 5
