K WHAT-A-MATRAKA
R GATORADE 3
R KIT-KAT 7
R NESQUIK-CHOCOLATE-MILK 3
O HOSTESS-DONETTES-POWDERED 10 3
R STARBUCKS-FRAPPUCCINO 2
R OREO 3
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R CHEETOS-CRUNCHY 2
R KIND-BAR-DARK-CHOCOLATE-NUT 9
M 6
R HOSTESS-DONETTES-POWDERED 9
R RITZ-CRACKERS 7
P EXTRA-PEPPERMINT-GUM 2
R MONSTER-ENERGY 9
R SNICKERS 2
R SPRITE 4
P LIFE-SAVERS-GUMMIES 2
P 3-MUSKETEERS 3
R SKITTLES 7
R HOSTESS-TWINKIES 3
R PRINGLES-ORIGINAL 4
R MONSTER-ENERGY 6
M 6
R STARBURST 3
R SKITTLES 4
P PRINGLES-SOUR-CREAM-&-ONION 1
R LAYS-BARBECUE 1
P HOSTESS-TWINKIES 8
P CHEETOS-CRUNCHY 2
O TASTYKAKE-HONEY-BUN 8 7
R PEPSI 6
P ALTOIDS-PEPPERMINT 10
P TIC-TAC-ORANGE 7
R NESQUIK-CHOCOLATE-MILK 2
R TIC-TAC-ORANGE 1
M 3
R HOSTESS-DONETTES-POWDERED 6
R TWIX 8
R PEPSI 9
R TASTYKAKE-HONEY-BUN 6
R HOSTESS-DONETTES-POWDERED 8
O SUN-CHIPS-HARVEST-CHEDDAR 4 8
O AQUAFINA-WATER 6 2
R MILKY-WAY 9
R CHEETOS-FLAMIN'-HOT 5
R SUN-CHIPS-HARVEST-CHEDDAR 8
P HOSTESS-TWINKIES 4
R ALTOIDS-PEPPERMINT 9
M 10
P AQUAFINA-WATER 4
R LAYS-CLASSIC 8
P MONSTER-ENERGY 8
P 3-MUSKETEERS 3
O SNICKERS 3 8
R DASANI-WATER 4
R CHEETOS-FLAMIN'-HOT 9
P LIFE-SAVERS-GUMMIES 5
R EXTRA-PEPPERMINT-GUM 5
P HOSTESS-DONETTES-POWDERED 6
R POCKY-CHOCOLATE 4
M 7
R COCA-COLA 2
R PLANET-OATS-CHOCOLATE-MILK 9
R AQUAFINA-WATER 9
R MILKY-WAY 1
R 3-MUSKETEERS 5
P RITZ-CRACKERS 4
P HARIBO-GOLD-BEARS 10
R LIFE-SAVERS-GUMMIES 9
R TASTYKAKE-HONEY-BUN 3
P PRINGLES-ORIGINAL 1
P KIND-BAR-DARK-CHOCOLATE-NUT 3
R PLANET-OATS-CHOCOLATE-MILK 2
R LIFE-SAVERS-GUMMIES 7
P TWIX 8
P DR-PEPPER 2
P KIND-BAR-DARK-CHOCOLATE-NUT 1
P STARBUCKS-FRAPPUCCINO 3
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 9
R HOSTESS-TWINKIES 4
R AQUAFINA-WATER 10
P DASANI-WATER 4
R FIJI-WATER 6
P TRIDENT-SPEARMINT-GUM 5
O EXTRA-PEPPERMINT-GUM 1 1
R MOUNTAIN-DEW 6
O OREO 9 1
R EXTRA-PEPPERMINT-GUM 5
R LAYS-BARBECUE 9
R MILKY-WAY 10
R PRINGLES-ORIGINAL 1
R STARBUCKS-FRAPPUCCINO 3
R CHEETOS-CRUNCHY 4
R CHEETOS-CRUNCHY 9
R NUTRI-GRAIN-STRAWBERRY 1
P RED-BULL 9
R DR-PEPPER 7
O AQUAFINA-WATER 7 5
O GATORADE 3 8
M 6
R DORITOS-NACHO-CHEESE 6
R PLANET-OATS-CHOCOLATE-MILK 4
R AQUAFINA-WATER 4
R STARBURST 10
P MONSTER-ENERGY 3
M 1
R POWERADE 8
R HARIBO-GOLD-BEARS 5
R SUN-CHIPS-HARVEST-CHEDDAR 5
P NESTEA-LEMON-TEA 2
R STARBURST 6
P LAYS-CLASSIC 5
P SKITTLES 1
P FIJI-WATER 5
P DASANI-WATER 3
P LAYS-CLASSIC 10
R M&M 4
R MENTOS-FRUIT 5
R M&M 9
R PEPSI 2
R MILKY-WAY 1
R SKITTLES 6
P ALTOIDS-PEPPERMINT 8
O FIJI-WATER 3 4
R CLIF-BAR-CHOCOLATE-CHIP 6
R DR-PEPPER 5
R STARBURST 1
K WHAT-A-MATRAKA
P GATORADE 1
R HARIBO-GOLD-BEARS 5
P TIC-TAC-ORANGE 3
M 7
P MENTOS-FRUIT 8
R LAYS-CLASSIC 9
R KIND-BAR-DARK-CHOCOLATE-NUT 10
K WHAT-A-MATRAKA
O PEPSI 10 9
R SMARTWATER 6
K WHAT-A-MATRAKA
R COCA-COLA 1
P PRINGLES-SOUR-CREAM-&-ONION 2
O LIFE-SAVERS-GUMMIES 9 2
R RED-BULL 5
R M&M 4
R HOSTESS-DONETTES-POWDERED 2
R 3-MUSKETEERS 6
R AQUAFINA-WATER 3
R DORITOS-NACHO-CHEESE 9
R SUN-CHIPS-HARVEST-CHEDDAR 9
R STARBUCKS-FRAPPUCCINO 3
R MENTOS-FRUIT 1
P NUTRI-GRAIN-STRAWBERRY 3
R HOSTESS-TWINKIES 4
P POCKY-CHOCOLATE 2
R LAYS-BARBECUE 4
R RITZ-CRACKERS 8
R LIFE-SAVERS-GUMMIES 2
R OREO 2
R SKITTLES 3
R CHEETOS-FLAMIN'-HOT 4
R DORITOS-NACHO-CHEESE 6
R PRINGLES-ORIGINAL 7
R FANTA-ORANGE 4
R MENTOS-FRUIT 5
R TROPICANA-ORANGE-JUICE 7
M 5
R SMARTWATER 2
O POCKY-CHOCOLATE 3 7
R MONSTER-ENERGY 4
O CHEETOS-FLAMIN'-HOT 4 1
R SNICKERS 3
R TWIX 5
R FIJI-WATER 7
P DR-PEPPER 5
R NUTRI-GRAIN-STRAWBERRY 1
R COCA-COLA 1
R TWIX 3
R TIC-TAC-ORANGE 7
R OREO 9
R PRINGLES-SOUR-CREAM-&-ONION 4
P CLIF-BAR-CHOCOLATE-CHIP 6
O TWIX 2 10
R SPRITE 6
R KIND-BAR-DARK-CHOCOLATE-NUT 4
R COCA-COLA 6
P MENTOS-FRUIT 6
R SNICKERS 8
R MILKY-WAY 1
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R CLIF-BAR-CHOCOLATE-CHIP 8
R PEPSI 5
R POCKY-CHOCOLATE 5
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R MILKY-WAY 8
K WHAT-A-MATRAKA
R SKITTLES 7
P POWERADE 10
R SKITTLES 5
R OREO 4
R HARIBO-GOLD-BEARS 5
R DR-PEPPER 8
R SPRITE 7
P TIC-TAC-ORANGE 2
P TIC-TAC-ORANGE 10
O TIC-TAC-ORANGE 10 5
R TRIDENT-SPEARMINT-GUM 5
R OREO 6
K WHAT-A-MATRAKA
R PRINGLES-ORIGINAL 10
P TWIX 4
R NUTRI-GRAIN-STRAWBERRY 1
M 2
P PRINGLES-ORIGINAL 8
O CHEETOS-FLAMIN'-HOT 6 3
R SNICKERS 7
O RITZ-CRACKERS 8 9
R NESTEA-LEMON-TEA 2
P CHEETOS-FLAMIN'-HOT 2
O ALTOIDS-PEPPERMINT 1 2
R TROPICANA-ORANGE-JUICE 8
O PRINGLES-ORIGINAL 10 1
P SMARTWATER 9
P 3-MUSKETEERS 5
R NESTEA-LEMON-TEA 5
R SKITTLES 6
R SUN-CHIPS-HARVEST-CHEDDAR 9
R TRIDENT-SPEARMINT-GUM 10
R CHEETOS-FLAMIN'-HOT 3
R SKITTLES 1
R DR-PEPPER 10
R PRINGLES-ORIGINAL 5
R TASTYKAKE-HONEY-BUN 4
R TASTYKAKE-HONEY-BUN 5
R SUN-CHIPS-HARVEST-CHEDDAR 1
K WHAT-A-MATRAKA
P CLIF-BAR-CHOCOLATE-CHIP 5
R MONSTER-ENERGY 5
R DORITOS-NACHO-CHEESE 2
R POWERADE 6
R LAYS-CLASSIC 1
O SUN-CHIPS-HARVEST-CHEDDAR 8 9
R NUTRI-GRAIN-STRAWBERRY 9
P LIFE-SAVERS-GUMMIES 3
R PEPSI 8
R PRINGLES-ORIGINAL 7
R 3-MUSKETEERS 6
P NESTEA-LEMON-TEA 1
P POCKY-CHOCOLATE 3
M 3
P MENTOS-FRUIT 2
R PRINGLES-SOUR-CREAM-&-ONION 9
M 8
R PRINGLES-ORIGINAL 8
M 9
P KIND-BAR-DARK-CHOCOLATE-NUT 2
M 8
R MENTOS-FRUIT 1
O DR-PEPPER 3 2
R AQUAFINA-WATER 8
P ALTOIDS-PEPPERMINT 2
R MOUNTAIN-DEW 4
R RITZ-CRACKERS 2
K WHAT-A-MATRAKA
R NUTRI-GRAIN-STRAWBERRY 3
O CLIF-BAR-CHOCOLATE-CHIP 6 5
P PRINGLES-SOUR-CREAM-&-ONION 2
R MOUNTAIN-DEW 1
O MENTOS-FRUIT 4 9
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 4
R CHEETOS-FLAMIN'-HOT 5
R RED-BULL 7
K WHAT-A-MATRAKA
P STARBURST 9
O DORITOS-COOL-RANCH 3 10
R HOSTESS-DONETTES-POWDERED 5
R KIT-KAT 1
O NESQUIK-CHOCOLATE-MILK 5 3
R DR-PEPPER 10
K WHAT-A-MATRAKA
P AQUAFINA-WATER 9
R PRINGLES-SOUR-CREAM-&-ONION 1
P DASANI-WATER 3
P TIC-TAC-ORANGE 7
R DORITOS-COOL-RANCH 10
O NUTRI-GRAIN-STRAWBERRY 6 8
R SNICKERS 8
O RED-BULL 7 7
R TROPICANA-ORANGE-JUICE 10
R EXTRA-PEPPERMINT-GUM 9
K WHAT-A-MATRAKA
M 2
R CHEETOS-FLAMIN'-HOT 5
R PRINGLES-SOUR-CREAM-&-ONION 8
R MOUNTAIN-DEW 7
K WHAT-A-MATRAKA
P HOSTESS-DONETTES-POWDERED 3
R AQUAFINA-WATER 3
R MILKY-WAY 3
O GATORADE 2 2
R PEPSI 2
R KIT-KAT 2
R SUN-CHIPS-HARVEST-CHEDDAR 3
R DASANI-WATER 10
O KIND-BAR-DARK-CHOCOLATE-NUT 4 3
R SKITTLES 3
O PRINGLES-SOUR-CREAM-&-ONION 3 6
P POCKY-CHOCOLATE 10
P M&M 1
R GATORADE 9
R CLIF-BAR-CHOCOLATE-CHIP 3
R AQUAFINA-WATER 1
R GATORADE 1
P TIC-TAC-ORANGE 8
R KIND-BAR-DARK-CHOCOLATE-NUT 9
P COCA-COLA 3
P MILKY-WAY 5
P OREO 2
M 2
M 7
O DORITOS-COOL-RANCH 5 2
R HARIBO-GOLD-BEARS 8
R OREO 4
M 4
K WHAT-A-MATRAKA
P LAYS-CLASSIC 10
P GATORADE 5
R MOUNTAIN-DEW 2
R STARBUCKS-FRAPPUCCINO 7
R HOSTESS-TWINKIES 7
P RITZ-CRACKERS 8
R TIC-TAC-ORANGE 6
R TRIDENT-SPEARMINT-GUM 4
P COCA-COLA 1
R TWIX 10
P NESQUIK-CHOCOLATE-MILK 9
P POCKY-CHOCOLATE 8
R SNICKERS 3
