M 2
R DORITOS-NACHO-CHEESE 3
O ALTOIDS-PEPPERMINT 7 5
R MILKY-WAY 6
O GATORADE 10 9
P OREO 8
O CHEETOS-CRUNCHY 8 9
K WHAT-A-MATRAKA
M 4
R MOUNTAIN-DEW 4
R MONSTER-ENERGY 2
R LAYS-CLASSIC 10
P LAYS-BARBECUE 9
O HARIBO-GOLD-BEARS 10 10
R RED-BULL 4
P MILKY-WAY 4
O FIJI-WATER 3 5
R MOUNTAIN-DEW 5
P 3-MUSKETEERS 3
R SKITTLES 5
R DORITOS-NACHO-CHEESE 5
R RED-BULL 1
R DASANI-WATER 7
R DORITOS-COOL-RANCH 6
R NUTRI-GRAIN-STRAWBERRY 3
K WHAT-A-MATRAKA
R GATORADE 10
R LAYS-BARBECUE 2
R TRIDENT-SPEARMINT-GUM 7
R MOUNTAIN-DEW 7
R LAYS-CLASSIC 6
P LAYS-CLASSIC 5
R NESQUIK-CHOCOLATE-MILK 7
P 3-MUSKETEERS 5
R OREO 1
R DORITOS-NACHO-CHEESE 2
R SNICKERS 8
R KIND-BAR-DARK-CHOCOLATE-NUT 7
P LAYS-BARBECUE 5
R TROPICANA-ORANGE-JUICE 5
R LAYS-CLASSIC 4
R LIFE-SAVERS-GUMMIES 9
R TWIX 8
R CHEETOS-CRUNCHY 8
R LAYS-CLASSIC 1
O AQUAFINA-WATER 8 9
R GATORADE 1
R HOSTESS-DONETTES-POWDERED 5
R COCA-COLA 7
P FANTA-ORANGE 4
R TASTYKAKE-HONEY-BUN 4
R TWIX 7
R LAYS-CLASSIC 1
R FANTA-ORANGE 8
R GATORADE 9
K WHAT-A-MATRAKA
P KIND-BAR-DARK-CHOCOLATE-NUT 2
R POCKY-CHOCOLATE 7
K WHAT-A-MATRAKA
R SKITTLES 2
M 9
K WHAT-A-MATRAKA
R FIJI-WATER 6
R SKITTLES 5
P 3-MUSKETEERS 7
R KIT-KAT 1
P NUTRI-GRAIN-STRAWBERRY 2
R FIJI-WATER 4
M 2
O POCKY-CHOCOLATE 4 10
R MONSTER-ENERGY 6
R TASTYKAKE-HONEY-BUN 5
P PLANET-OATS-CHOCOLATE-MILK 1
R FIJI-WATER 5
P EXTRA-PEPPERMINT-GUM 5
R MONSTER-ENERGY 4
R STARBURST 2
R RED-BULL 10
R STARBUCKS-FRAPPUCCINO 3
R DORITOS-NACHO-CHEESE 9
R 3-MUSKETEERS 5
R CHEETOS-FLAMIN'-HOT 8
R KIND-BAR-DARK-CHOCOLATE-NUT 7
K WHAT-A-MATRAKA
R DORITOS-COOL-RANCH 7
